n = 1, OPT(1, n) = 0 (Done in 0.0 seconds)
n = 2, OPT(1, n) = 0 (Done in 0.0 seconds)
n = 3, OPT(1, n) = 0 (Done in 0.0 seconds)
n = 4, OPT(1, n) = 0 (Done in 0.0 seconds)
n = 5, OPT(1, n) = 0 (Done in 0.0 seconds)
n = 6, OPT(1, n) = 1 (Done in 0.0 seconds)
n = 7, OPT(1, n) = 1 (Done in 0.0 seconds)
n = 8, OPT(1, n) = 1 (Done in 0.0 seconds)
n = 9, OPT(1, n) = 1 (Done in 0.0 seconds)
n = 10, OPT(1, n) = 2 (Done in 0.0 seconds)
n = 11, OPT(1, n) = 2 (Done in 0.0 seconds)
n = 12, OPT(1, n) = 2 (Done in 0.0 seconds)
n = 13, OPT(1, n) = 3 (Done in 0.0 seconds)
n = 14, OPT(1, n) = 3 (Done in 0.0 seconds)
n = 15, OPT(1, n) = 3 (Done in 0.0 seconds)
n = 16, OPT(1, n) = 3 (Done in 0.000999927520752 seconds)
n = 17, OPT(1, n) = 3 (Done in 0.0 seconds)
n = 18, OPT(1, n) = 4 (Done in 0.0 seconds)
n = 19, OPT(1, n) = 4 (Done in 0.0 seconds)
n = 20, OPT(1, n) = 5 (Done in 0.0 seconds)
n = 21, OPT(1, n) = 5 (Done in 0.00100016593933 seconds)
n = 22, OPT(1, n) = 5 (Done in 0.000999927520752 seconds)
n = 23, OPT(1, n) = 5 (Done in 0.000999927520752 seconds)
n = 24, OPT(1, n) = 5 (Done in 0.00200009346008 seconds)
n = 25, OPT(1, n) = 6 (Done in 0.00300002098083 seconds)
n = 26, OPT(1, n) = 6 (Done in 0.00399994850159 seconds)
n = 27, OPT(1, n) = 6 (Done in 0.00600004196167 seconds)
n = 28, OPT(1, n) = 6 (Done in 0.00999999046326 seconds)
n = 29, OPT(1, n) = 7 (Done in 0.0130000114441 seconds)
n = 30, OPT(1, n) = 7 (Done in 0.0169999599457 seconds)
n = 31, OPT(1, n) = 8 (Done in 0.0350000858307 seconds)
n = 32, OPT(1, n) = 8 (Done in 0.058000087738 seconds)
n = 33, OPT(1, n) = 8 (Done in 0.0899999141693 seconds)
n = 34, OPT(1, n) = 9 (Done in 0.138000011444 seconds)
n = 35, OPT(1, n) = 9 (Done in 0.226999998093 seconds)
n = 36, OPT(1, n) = 10 (Done in 0.444000005722 seconds)
n = 37, OPT(1, n) = 10 (Done in 0.6859998703 seconds)
n = 38, OPT(1, n) = 10 (Done in 1.06200003624 seconds)
n = 39, OPT(1, n) = 10 (Done in 1.76499986649 seconds)
n = 40, OPT(1, n) = 11 (Done in 3.65899991989 seconds)
n = 41, OPT(1, n) = 12 (Done in 6.10100007057 seconds)
n = 42, OPT(1, n) = 12 (Done in 9.49300003052 seconds)
n = 43, OPT(1, n) = 12 (Done in 14.6160001755 seconds)
n = 44, OPT(1, n) = 13 (Done in 24.6410000324 seconds)
n = 45, OPT(1, n) = 13 (Done in 35.753000021 seconds)
n = 46, OPT(1, n) = 14 (Done in 59.493999958 seconds)
n = 47, OPT(1, n) = 14 (Done in 92.5329999924 seconds)
n = 48, OPT(1, n) = 15 (Done in 190.144999981 seconds)
n = 49, OPT(1, n) = 15 (Done in 302.745000124 seconds)
n = 50, OPT(1, n) = 15 (Done in 413.366999865 seconds)
