n = 50, OPT(1, n) = 15 (Done in 0.00300002098083 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.0299999713898 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.101000070572 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.24799990654 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.505000114441 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.80999994278 seconds)
n = 350, OPT(1, n) = 122 (Done in 1.3639998436 seconds)
n = 400, OPT(1, n) = 140 (Done in 2.04899978638 seconds)
n = 450, OPT(1, n) = 157 (Done in 2.87900018692 seconds)
n = 500, OPT(1, n) = 176 (Done in 4.0070002079 seconds)
n = 550, OPT(1, n) = 193 (Done in 5.3149998188 seconds)
n = 600, OPT(1, n) = 210 (Done in 6.97900009155 seconds)
n = 650, OPT(1, n) = 229 (Done in 8.8060002327 seconds)
n = 700, OPT(1, n) = 247 (Done in 11.129999876 seconds)
n = 750, OPT(1, n) = 264 (Done in 13.4630000591 seconds)
n = 800, OPT(1, n) = 285 (Done in 16.6990001202 seconds)
n = 850, OPT(1, n) = 304 (Done in 20.0979998112 seconds)
n = 900, OPT(1, n) = 322 (Done in 23.8139998913 seconds)
n = 950, OPT(1, n) = 340 (Done in 28.0490000248 seconds)
n = 1000, OPT(1, n) = 359 (Done in 32.5410001278 seconds)
n = 1200, OPT(1, n) = 429 (Done in 57.1480000019 seconds)
n = 1400, OPT(1, n) = 503 (Done in 90.3439998627 seconds)
n = 1600, OPT(1, n) = 574 (Done in 135.364000082 seconds)
n = 1800, OPT(1, n) = 645 (Done in 194.556999922 seconds)
n = 2000, OPT(1, n) = 716 (Done in 267.950999975 seconds)
