n = 50, OPT(1, n) = 15 (Done in 0.00234274 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.018989 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.06224 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.14788 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.290325 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.508734 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.797108 seconds)
n = 400, OPT(1, n) = 140 (Done in 1.1927 seconds)
n = 450, OPT(1, n) = 157 (Done in 1.70434 seconds)
n = 500, OPT(1, n) = 176 (Done in 2.34287 seconds)
n = 550, OPT(1, n) = 193 (Done in 3.11768 seconds)
n = 600, OPT(1, n) = 210 (Done in 4.05462 seconds)
n = 650, OPT(1, n) = 229 (Done in 5.13415 seconds)
n = 700, OPT(1, n) = 247 (Done in 6.46832 seconds)
n = 750, OPT(1, n) = 264 (Done in 7.82728 seconds)
n = 800, OPT(1, n) = 285 (Done in 9.56712 seconds)
n = 850, OPT(1, n) = 304 (Done in 11.4288 seconds)
n = 900, OPT(1, n) = 322 (Done in 13.6028 seconds)
n = 950, OPT(1, n) = 340 (Done in 16.2295 seconds)
n = 1000, OPT(1, n) = 359 (Done in 18.6666 seconds)
n = 1200, OPT(1, n) = 429 (Done in 32.5311 seconds)
n = 1400, OPT(1, n) = 503 (Done in 51.4358 seconds)
n = 1600, OPT(1, n) = 574 (Done in 76.6008 seconds)
n = 1800, OPT(1, n) = 645 (Done in 109.593 seconds)
n = 2000, OPT(1, n) = 716 (Done in 150.13 seconds)
