n = 50, OPT(1, n) = 15 (Done in 0.00355095 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.0309502 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.108633 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.262299 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.518806 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.898075 seconds)
n = 350, OPT(1, n) = 122 (Done in 1.43043 seconds)
n = 400, OPT(1, n) = 140 (Done in 2.14791 seconds)
n = 450, OPT(1, n) = 157 (Done in 3.06938 seconds)
n = 500, OPT(1, n) = 176 (Done in 4.22076 seconds)
n = 550, OPT(1, n) = 193 (Done in 5.62018 seconds)
n = 600, OPT(1, n) = 210 (Done in 7.33207 seconds)
n = 650, OPT(1, n) = 229 (Done in 9.3207 seconds)
n = 700, OPT(1, n) = 247 (Done in 11.6564 seconds)
n = 750, OPT(1, n) = 264 (Done in 14.3771 seconds)
n = 800, OPT(1, n) = 285 (Done in 17.4701 seconds)
n = 850, OPT(1, n) = 304 (Done in 20.9441 seconds)
n = 900, OPT(1, n) = 322 (Done in 24.8957 seconds)
n = 950, OPT(1, n) = 340 (Done in 29.2868 seconds)
n = 1000, OPT(1, n) = 359 (Done in 34.1893 seconds)
n = 1200, OPT(1, n) = 429 (Done in 59.2342 seconds)
n = 1400, OPT(1, n) = 503 (Done in 94.2069 seconds)
n = 1600, OPT(1, n) = 574 (Done in 140.621 seconds)
n = 1800, OPT(1, n) = 645 (Done in 200.38 seconds)
n = 2000, OPT(1, n) = 716 (Done in 275.415 seconds)
